x,y,z,Seconds,Microseconds,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
6,253,23,0,547000,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
0,0,0,0,547000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,563000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
0,0,0,0,579000,,,,
,,,,,,,,
239,13,218,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,594000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,610000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
0,0,0,0,625000,,,,
,,,,,,,,
235,22,151,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,641000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
0,0,0,0,657000,,,,
,,,,,,,,
