x,y,z,Seconds,Microseconds,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,897000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,913000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
36,223,70,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,928000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,944000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,960000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
13,242,4,0,975000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
0,0,0,0,975000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,0,991000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,7000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
4,27,185,1,22000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
0,0,0,1,22000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,38000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,53000,,,
,,,,,,,
0,0,0,1,69000,,,
,,,,,,,
255,36,162,1,69000,,,
,,,,,,,
0,0,0,1,69000,,,
,,,,,,,
0,0,0,1,69000,,,
,,,,,,,
0,0,0,1,69000,,,
,,,,,,,
0,0,0,1,69000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,85000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,100000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
255,22,206,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,116000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,132000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,147000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
238,194,127,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,163000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,179000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
0,0,0,1,194000,,,
,,,,,,,
34,16,127,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,210000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,226000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
0,0,0,1,241000,,,
,,,,,,,
47,237,109,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,257000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,272000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,288000,,,
,,,,,,,
0,0,0,1,304000,,,
,,,,,,,
0,0,0,1,304000,,,
,,,,,,,
30,240,37,1,304000,,,
,,,,,,,
0,0,0,1,304000,,,
,,,,,,,
0,0,0,1,304000,,,
,,,,,,,
